CPM StitchFixEvergreenQ425|2025-12-04|97767|8425|25|1|0|0|Your new personal stylist is now $20 off|SFEMLWEVG1-M3_C_S_F_I_100625|549689|38568|Y|Y
CPM StitchFixEvergreenQ425|2025-12-04|119500|13188|54|3|0|0|Your perfect pieces are only a style quiz away|SFEMLMEVG1-M3_C_S_M_I_100625|549688|38568|Y|Y
CPM StitchFixEvergreenQ425|2025-12-05|96497|9150|33|2|0|0|Get the perfect styles for your fit and budget|SFEMLWEVG1-M3_C_S_F_I_100625|549689|38568|Y|Y
CPM StitchFixEvergreenQ425|2025-12-05|117939|12512|49|2|0|0|Tell us all about your style to get started|SFEMLMEVG1-M3_C_S_M_I_100625|549688|38568|Y|Y
CPM StitchFixEvergreenQ425|2025-12-06|118828|10305|23|1|0|0|Get styled without the stress|SFEMLMEVG1-M3_C_S_M_I_100625|549688|38568|Y|Y
CPM StitchFixEvergreenQ425|2025-12-06|97219|9483|32|1|0|0|Your perfect pieces are only a style quiz away|SFEMLWEVG1-M3_C_S_F_I_100625|549689|38568|Y|Y
CPM StitchFixEvergreenQ425|2025-12-07|94697|9818|38|2|0|0|Tell us all about your style to get started|SFEMLWEVG1-M3_C_S_F_I_100625|549689|38568|Y|Y
CPM StitchFixEvergreenQ425|2025-12-07|115735|10881|33|2|0|0|Your new personal stylist is now $20 off|SFEMLMEVG1-M3_C_S_M_I_100625|549688|38568|Y|Y
CPM StitchFixEvergreenQ425|2025-12-08|92471|10290|44|2|0|0|Get styled without the stress|SFEMLWEVG1-M3_C_S_F_I_100625|549689|38568|Y|Y
CPM StitchFixEvergreenQ425|2025-12-08|113027|9964|29|1|0|0|Get the perfect styles for your fit and budget|SFEMLMEVG1-M3_C_S_M_I_100625|549688|38568|Y|Y
CPM StitchFixEvergreenQ425|2025-12-09|91702|7491|20|1|0|0|Your new personal stylist is now $20 off|SFEMLWEVG1-M3_C_S_F_I_100625|549689|38568|Y|Y
CPM StitchFixEvergreenQ425|2025-12-09|112080|12111|46|2|0|0|Your perfect pieces are only a style quiz away|SFEMLMEVG1-M3_C_S_M_I_100625|549688|38568|Y|Y
CPM StitchFixEvergreenQ425|2025-12-10|90590|7242|17|0|0|0|Get the perfect styles for your fit and budget|SFEMLWEVG1-M3_C_S_F_I_100625|549689|38568|Y|Y
CPM StitchFixEvergreenQ425|2025-12-10|110720|11619|40|3|0|0|Tell us all about your style to get started|SFEMLMEVG1-M3_C_S_M_I_100625|549688|38568|Y|Y
